ticket_id,booking_id,ticket_number,fare_class,fare_basis,base_fare,taxes_fees,total_price,currency,ticket_status,issue_date,valid_until
TKT001,BK001,1234567890123,Y,YCA21,580.00,45.00,625.00,USD,issued,2024-01-15,2024-02-22
TKT002,BK001,1234567890124,Y,YCA21,580.00,45.00,625.00,USD,issued,2024-01-15,2024-02-22
TKT003,BK002,2345678901234,W,WCA14,750.00,65.50,815.50,USD,issued,2024-01-20,2024-02-25
TKT004,BK002,2345678901235,W,WCA14,750.00,65.50,815.50,USD,refunded,2024-01-20,2024-02-25
TKT005,BK003,3456789012345,J,JCA07,1200.00,120.00,1320.00,EUR,cancelled,2024-02-05,2024-03-12
TKT006,BK003,3456789012346,Y,YCA21,220.00,40.00,260.00,EUR,cancelled,2024-02-05,2024-03-12
TKT007,BK004,4567890123456,F,FCA03,1800.00,150.75,1950.75,USD,issued,2024-02-12,2024-03-30
TKT008,BK004,4567890123457,Y,YCA21,140.00,10.00,150.00,USD,issued,2024-02-12,2024-03-30
TKT009,BK005,5678901234567,Y,YCA21,580.00,95.25,675.25,GBP,pending,2024-02-18,2024-03-25
TKT010,BK006,6789012345678,W,WCA14,850.00,50.00,900.00,USD,issued,2024-03-01,2024-04-12
TKT011,BK006,6789012345679,W,WCA14,850.00,50.00,900.00,USD,issued,2024-03-01,2024-04-12
TKT012,BK007,7890123456789,Y,YCA21,780.00,70.00,850.00,EUR,issued,2024-03-08,2024-04-15
TKT013,BK008,8901234567890,J,JCA07,1150.00,70.50,1220.50,USD,cancelled,2024-03-15,2024-04-01
TKT014,BK009,9012345678901,J,JCA07,1300.00,75.00,1375.00,USD,issued,2024-03-22,2024-05-15
TKT015,BK009,9012345678902,J,JCA07,1300.00,75.00,1375.00,USD,issued,2024-03-22,2024-05-15
TKT016,BK010,0123456789012,W,WCA14,980.00,70.75,1050.75,EUR,issued,2024-04-01,2024-05-20
