ticket_passenger_id,ticket_id,passenger_id,boarding_pass_issued,boarding_gate,boarding_group,special_assistance,created_at
TP001,TKT001,PASS001,TRUE,A12,3,none,2024-01-15 10:30:00
TP002,TKT002,PASS002,TRUE,A12,3,none,2024-01-15 10:30:00
TP003,TKT003,PASS003,FALSE,B05,2,none,2024-01-20 14:22:00
TP004,TKT004,PASS003,FALSE,B05,2,none,2024-01-20 14:22:00
TP005,TKT005,PASS004,FALSE,C08,1,none,2024-02-05 09:15:00
TP006,TKT006,PASS005,FALSE,C08,5,unaccompanied_minor,2024-02-05 09:15:00
TP007,TKT007,PASS006,TRUE,A01,1,none,2024-02-12 16:45:00
TP008,TKT008,PASS006,TRUE,A01,1,none,2024-02-12 16:45:00
TP009,TKT009,PASS007,FALSE,D15,4,none,2024-02-18 13:20:00
TP010,TKT010,PASS008,TRUE,B10,2,none,2024-03-01 11:10:00
TP011,TKT011,PASS009,TRUE,B10,2,wheelchair,2024-03-01 11:10:00
TP012,TKT012,PASS010,TRUE,C07,3,none,2024-03-08 08:30:00
TP013,TKT013,PASS011,FALSE,A15,1,none,2024-03-15 15:45:00
TP014,TKT014,PASS012,TRUE,A03,1,none,2024-03-22 12:15:00
TP015,TKT015,PASS013,TRUE,A03,1,dietary_restriction,2024-03-22 12:15:00
TP016,TKT016,PASS014,TRUE,B12,2,none,2024-04-01 10:00:00
