ticket_segment_id,ticket_id,segment_id,seat_number,seat_class,baggage_allowance,meal_preference,created_at
TS001,TKT001,SEG001,12F,economy,1,vegetarian,2024-01-15 10:30:00
TS002,TKT001,SEG002,12F,economy,1,vegetarian,2024-01-15 10:30:00
TS003,TKT002,SEG001,12E,economy,1,standard,2024-01-15 10:30:00
TS004,TKT002,SEG002,12E,economy,1,standard,2024-01-15 10:30:00
TS005,TKT003,SEG003,8A,premium_economy,2,kosher,2024-01-20 14:22:00
TS006,TKT004,SEG003,8B,premium_economy,2,standard,2024-01-20 14:22:00
TS007,TKT005,SEG004,3C,business,2,standard,2024-02-05 09:15:00
TS008,TKT005,SEG005,2A,business,2,standard,2024-02-05 09:15:00
TS009,TKT006,SEG004,15F,economy,1,child_meal,2024-02-05 09:15:00
TS010,TKT006,SEG005,15F,economy,1,child_meal,2024-02-05 09:15:00
TS011,TKT007,SEG006,1A,first,3,standard,2024-02-12 16:45:00
TS012,TKT007,SEG007,1A,first,3,standard,2024-02-12 16:45:00
TS013,TKT007,SEG008,1A,first,3,standard,2024-02-12 16:45:00
TS014,TKT008,SEG006,1B,first,3,standard,2024-02-12 16:45:00
TS015,TKT008,SEG007,1B,first,3,standard,2024-02-12 16:45:00
TS016,TKT008,SEG008,1B,first,3,standard,2024-02-12 16:45:00
TS017,TKT009,SEG009,18C,economy,1,halal,2024-02-18 13:20:00
TS018,TKT010,SEG010,9A,premium_economy,2,vegetarian,2024-03-01 11:10:00
TS019,TKT010,SEG011,9A,premium_economy,2,vegetarian,2024-03-01 11:10:00
TS020,TKT011,SEG010,9B,premium_economy,2,standard,2024-03-01 11:10:00
TS021,TKT011,SEG011,9B,premium_economy,2,standard,2024-03-01 11:10:00
TS022,TKT012,SEG012,22F,economy,1,standard,2024-03-08 08:30:00
TS023,TKT013,SEG013,5D,business,2,standard,2024-03-15 15:45:00
TS024,TKT014,SEG013,4A,business,2,vegetarian,2024-03-22 12:15:00
TS025,TKT014,SEG014,4A,business,2,vegetarian,2024-03-22 12:15:00
TS026,TKT015,SEG013,4B,business,2,standard,2024-03-22 12:15:00
TS027,TKT015,SEG014,4B,business,2,standard,2024-03-22 12:15:00
TS028,TKT016,SEG015,11C,premium_economy,2,standard,2024-04-01 10:00:00
